Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,ApplicantDebt,CoApplicantDebt,Loan_Status
LP001248,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,2160,0,Y
LP001250,Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban,2645,0,N
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,1705,1314,Y
LP001255,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,1799,0,N
LP001256,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,3598,3346,N
LP001259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,955,2756,N
LP001263,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,677,709,N
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban,1688,385,Y
LP001265,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,2410,0,Y
LP001266,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,2390,0,Y
LP001267,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,1168,905,N
LP001273,Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,2617,761,N
LP001275,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,2678,0,Y
LP001279,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,2336,591,Y
LP001280,Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,954,1070,Y
LP001282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,1650,350,Y
LP001289,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,5047,0,Y
LP001310,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,2694,1687,Y
LP001316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,692,1710,Y
LP001318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,1620,5318,Y
LP001319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,1614,1214,Y
LP001322,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,1184,0,Y
LP001325,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,666,0,Y
LP001326,Male,No,0,Graduate,,6782,0,,360,,Urban,1895,0,N
LP001327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,1110,367,Y
LP001333,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,1266,279,Y
LP001334,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,3637,0,Y
LP001343,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,828,3429,Y
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,2312,3185,Y
LP001349,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,1853,3103,Y
LP001350,Male,Yes,,Graduate,No,13650,0,,360,1,Urban,4255,0,Y
LP001356,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban,3237,1704,Y
LP001357,Male,,,Graduate,No,3816,754,160,360,1,Urban,674,540,Y
LP001367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,2365,192,Y
LP001369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,4872,249,Y
LP001370,Male,No,0,Not Graduate,,7333,0,120,360,1,Rural,4792,0,N
LP001379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,803,3110,N
LP001384,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,2055,464,Y
LP001385,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,1559,0,Y
LP001387,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,982,1475,Y
LP001391,Male,Yes,0,Not Graduate,No,3572,4114,152,,0,Rural,3290,930,N
LP001392,Female,No,1,Graduate,Yes,7451,0,,360,1,Semiurban,5859,0,Y
LP001398,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,4633,0,Y
LP001401,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,14304,0,Y
LP001404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,1294,1281,Y
LP001405,Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban,1763,411,Y
LP001421,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,4341,1206,N
LP001422,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,8624,0,Y
LP001426,Male,Yes,,Graduate,No,5667,2667,180,360,1,Rural,3696,1812,Y
LP001430,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,3066,0,Y
LP001431,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,717,5676,Y
LP001432,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,1309,0,Y
LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,2394,789,Y
LP001443,Female,No,0,Graduate,No,3692,0,93,360,,Rural,1498,0,Y
LP001448,,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,6420,0,Y
LP001449,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,629,1060,Y
LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,2959,1302,N
LP001465,Male,Yes,0,Graduate,No,6080,2569,182,360,,Rural,4870,708,N
LP001469,Male,No,0,Graduate,Yes,20166,0,650,480,,Urban,9233,0,Y
LP001473,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,1272,1751,Y
LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,1666,0,Y
LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,2298,0,Y
LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,4384,0,Y
LP001488,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban,1413,2238,N
LP001489,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,1684,0,N
LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,700,526,Y
LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,11535,0,N
LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,3908,625,N
LP001497,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,1584,1210,N
LP001498,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,1777,0,Y
LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,4656,0,Y
LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,2589,476,Y
LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,4346,0,Y
LP001514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,1802,1205,Y
LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,12467,0,Y
LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,834,340,Y
LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,8120,978,N
LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,1037,413,Y
LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,3961,0,N
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,448,680,Y
LP001531,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,9008,0,N
LP001532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,679,0,N
LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,2604,0,Y
LP001536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,23395,0,Y
LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,,Rural,5348,0,Y
LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,3711,0,Y
LP001546,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,1730,1636,Y
LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,740,2466,Y
LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,1445,531,Y
LP001562,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,2856,0,N
LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,953,218,N
LP001570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,3475,447,Y
LP001572,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,2084,0,Y
LP001574,Male,Yes,0,Graduate,No,3707,3166,182,,1,Rural,1780,2391,Y
LP001577,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,2717,0,N
LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,605,2790,Y
LP001579,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,525,0,N
LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,3788,0,Y
LP001581,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,1587,622,Y
LP001585,,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,35895,0,Y
LP001586,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,1655,0,N
LP001594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,2457,908,Y
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,1963,502,N
LP001606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,898,1137,Y
LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,517,1229,Y
LP001610,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,5211,9703,N
LP001616,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,2091,0,Y
LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,2159,1317,N
LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,2412,3123,N
LP001634,Male,No,0,Graduate,No,1916,5063,67,360,,Rural,1616,4502,N
LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,1579,0,Y
LP001637,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,16046,0,N
LP001639,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,1104,0,Y
LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,24077,3647,Y
LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,1838,0,N
LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural,524,450,Y
LP001644,,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,636,2388,Y
LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,3221,0,Y
LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,3084,0,Y
LP001656,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,3711,0,N
LP001657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,2849,0,N
LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,2944,0,Y
LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,1727,0,Y
LP001665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,2197,1342,N
LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,2639,1380,Y
LP001669,Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,649,1024,Y
LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,1879,1339,Y
LP001673,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,9774,0,N
LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,1261,794,Y
LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,1402,0,Y
LP001682,Male,Yes,3+,Not Graduate,No,3992,0,,180,1,Urban,2828,0,N
LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,2259,283,Y
LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,880,0,Y
LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,1692,0,Y
LP001693,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,2960,0,Y
LP001698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,1242,2297,Y
LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,2279,0,Y
LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,2535,0,N
LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,5467,0,N
LP001711,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,3429,654,N
LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,5112,0,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,2675,0,Y
LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,2204,593,Y
LP001720,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,2909,406,Y
LP001722,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,87,473,N
LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,1729,499,Y
LP001732,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,783,0,N
LP001734,Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,1239,1482,Y
LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,1716,0,N
LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,3059,978,Y
LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,1789,1949,Y
LP001749,Male,Yes,0,Graduate,No,7578,1010,175,,1,Semiurban,5259,304,Y
LP001750,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,4491,0,Y
LP001751,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,1889,0,N
LP001754,Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,2105,0,N
LP001758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,1435,1629,Y
LP001760,Male,,,Graduate,No,4758,0,158,480,1,Semiurban,745,0,Y
LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,2042,0,Y
LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,1710,1240,Y
LP001768,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,3568,0,Y
LP001770,Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,2625,1888,Y
LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,5900,0,Y
LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,3149,421,Y
LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,3763,547,Y
LP001786,Male,Yes,0,Graduate,,5746,0,255,360,,Urban,1211,0,N
LP001788,Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,2882,0,Y
LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,910,0,Y
LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,1506,0,Y
LP001798,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,4060,1013,Y
LP001800,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,451,1926,N
LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,805,1828,Y
LP001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,4610,992,Y
LP001811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,2292,3727,Y
LP001813,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,5920,791,N
LP001814,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,6365,0,Y
LP001819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,2310,0,Y
LP001824,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,768,981,Y
LP001825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,848,1456,Y
LP001835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,934,2862,N
LP001836,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,3075,0,N
LP001841,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,1330,841,Y
LP001843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,1573,6891,Y
LP001844,Male,No,0,Graduate,Yes,16250,0,192,360,0,Urban,9373,0,N
LP001846,Female,No,3+,Graduate,No,3083,0,255,360,1,Rural,2672,0,Y
LP001849,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,3541,0,N
LP001854,Male,Yes,3+,Graduate,No,5250,0,94,360,1,Urban,3985,0,N
LP001859,Male,Yes,0,Graduate,No,14683,2100,304,360,1,Rural,3429,491,N
LP001864,Male,Yes,3+,Not Graduate,No,4931,0,128,360,,Semiurban,4347,0,N
LP001865,Male,Yes,1,Graduate,No,6083,4250,330,360,,Urban,2652,3297,Y
LP001868,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,1372,1552,Y
LP001870,Female,No,1,Graduate,No,3481,0,155,36,1,Semiurban,2982,0,N
LP001871,Female,No,0,Graduate,No,7200,0,120,360,1,Rural,4285,0,Y
LP001872,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,1894,0,Y
LP001875,Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,2340,3363,Y
LP001877,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,2860,588,Y
LP001882,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,Urban,1657,339,Y
LP001883,Female,No,0,Graduate,,3418,0,135,360,1,Rural,691,0,N
LP001884,Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,2028,1174,Y
LP001888,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,874,0,Y
LP001891,Male,Yes,0,Graduate,No,11146,0,136,360,1,Urban,7953,0,Y
LP001892,Male,No,0,Graduate,No,2833,1857,126,360,1,Rural,2699,728,Y
LP001894,Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,2447,1013,Y
LP001896,Male,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,1739,0,Y
LP001900,Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,915,482,Y
LP001903,Male,Yes,0,Graduate,No,3993,3274,207,360,1,Semiurban,3199,955,Y
LP001904,Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,778,780,Y
LP001907,Male,Yes,0,Graduate,No,14583,0,436,360,1,Semiurban,6476,0,Y
LP001908,Female,Yes,0,Not Graduate,No,4100,0,124,360,,Rural,3936,0,Y
LP001910,Male,No,1,Not Graduate,Yes,4053,2426,158,360,0,Urban,3636,2245,N
LP001914,Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,1223,548,Y
LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,1094,559,Y
LP001917,Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,406,1383,Y
LP001922,Male,Yes,0,Graduate,No,20667,0,,360,1,Rural,13186,0,N
LP001924,Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,3132,2866,Y
LP001925,Female,No,0,Graduate,Yes,2600,1717,99,300,1,Semiurban,1739,880,N
LP001926,Male,Yes,0,Graduate,No,3704,2000,120,360,1,Rural,1216,1623,Y
LP001931,Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,1831,0,Y
LP001935,Male,No,0,Graduate,No,9508,0,187,360,1,Rural,7492,0,Y
LP001936,Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,1567,454,Y
LP001938,Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,3279,0,N
LP001940,Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,1605,1453,Y
LP001945,Female,No,,Graduate,No,5417,0,143,480,0,Urban,4555,0,N
LP001947,Male,Yes,0,Graduate,No,2383,3334,172,360,1,Semiurban,997,3249,Y
LP001949,Male,Yes,3+,Graduate,,4416,1250,110,360,1,Urban,4248,681,Y
LP001953,Male,Yes,1,Graduate,No,6875,0,200,360,1,Semiurban,6733,0,Y
LP001954,Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,3812,0,Y
LP001955,Female,No,0,Graduate,No,5000,2541,151,480,1,Rural,1876,2157,N
LP001963,Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,557,2292,N
LP001964,Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,Urban,686,2581,N
LP001972,Male,Yes,,Not Graduate,No,2875,1750,105,360,1,Semiurban,1298,1212,Y
LP001974,Female,No,0,Graduate,No,5000,0,132,360,1,Rural,2574,0,Y
LP001977,Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,265,486,Y
LP001978,Male,No,0,Graduate,No,4000,2500,140,360,1,Rural,1945,1448,Y
LP001990,Male,No,0,Not Graduate,No,2000,0,,360,1,Urban,1917,0,N
LP001993,Female,No,0,Graduate,No,3762,1666,135,360,1,Rural,3225,422,Y
